evidence_class,milestone,fold,arm_or_pair,metric,value,n,statistic_type,inferential_status,scope_note
e1_recipe_structural_descriptive,E1,frozen-256-bank,LLM,unique_recipe_ratio,1.000000,256,descriptive_ratio,not_claimed,"0 duplicated recipe keys; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e1_recipe_structural_descriptive,E1,frozen-256-bank,LLM,pairwise_gower_distance_mean,0.427146,32640,descriptive_mean_ddof1,not_claimed,"sd_ddof1=0.090885; within-bank recipe dispersion; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e1_recipe_structural_descriptive,E1,frozen-256-bank,DET,unique_recipe_ratio,1.000000,256,descriptive_ratio,not_claimed,"0 duplicated recipe keys; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e1_recipe_structural_descriptive,E1,frozen-256-bank,DET,pairwise_gower_distance_mean,0.516344,32640,descriptive_mean_ddof1,not_claimed,"sd_ddof1=0.075708; within-bank recipe dispersion; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e1_recipe_structural_descriptive,E1,frozen-256-bank,RND,unique_recipe_ratio,1.000000,256,descriptive_ratio,not_claimed,"0 duplicated recipe keys; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e1_recipe_structural_descriptive,E1,frozen-256-bank,RND,pairwise_gower_distance_mean,0.516287,32640,descriptive_mean_ddof1,not_claimed,"sd_ddof1=0.076205; within-bank recipe dispersion; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e1_recipe_structural_descriptive,E1,frozen-256-bank,RND_vs_DET,js_divergence_artifact_x_severity_bin,0.031793,,descriptive_js_divergence,not_claimed,"Jensen-Shannon divergence between arms' joint artifact x severity co-occurrence; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e1_recipe_structural_descriptive,E1,frozen-256-bank,RND_vs_LLM,js_divergence_artifact_x_severity_bin,0.186829,,descriptive_js_divergence,not_claimed,"Jensen-Shannon divergence between arms' joint artifact x severity co-occurrence; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e1_recipe_structural_descriptive,E1,frozen-256-bank,DET_vs_LLM,js_divergence_artifact_x_severity_bin,0.210270,,descriptive_js_divergence,not_claimed,"Jensen-Shannon divergence between arms' joint artifact x severity co-occurrence; STRUCTURAL statistic of the frozen 256-recipe selected banks only; NOT a target/detector metric; NOT a semantic-mechanism or LLM-reasoning claim (E1 scientific_interpretation_boundary); diagnostic, not in the Holm family"
e2_quality_confound_magnitude,E2,frozen-F1-bank,LLM_vs_RND,SMD_q,-0.325832,1024+1024,descriptive_effect_size,not_claimed,"standardized mean difference of accepted-candidate quality q; |SMD|>=0.25 is the frozen E8 trigger, not a performance result"
e2_quality_confound_magnitude,E2,frozen-F1-bank,LLM_vs_DET,SMD_q,-0.364036,1024+1024,descriptive_effect_size,not_claimed,"standardized mean difference of accepted-candidate quality q; |SMD|>=0.25 is the frozen E8 trigger, not a performance result"
